,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
0,59001,Abbotsford,22.00%,39.00%,19.00%,20.00%,British Columba,Conservative
1,24001,Abitibi--Baie-James--Nunavik--Eeyou,47.00%,23.00%,18.00%,13.00%,Quebec,NDP
2,24002,Abitibi--TÃ©miscamingue,36.00%,26.00%,21.00%,17.00%,Quebec,NDP
3,13001,Acadie--Bathurst,36.00%,27.00%,24.00%,13.00%,New Brunswick/Nouveau-Brunswick,Liberal
4,24003,Ahuntsic-Cartierville,18.00%,22.00%,20.00%,40.00%,Quebec,Liberal
5,35001,Ajax,15.00%,31.00%,26.00%,28.00%,Ontario,Liberal
6,24004,Alfred-Pellan,21.00%,28.00%,24.00%,27.00%,Quebec,Liberal
7,35002,Algoma--Manitoulin--Kapuskasing,29.00%,31.00%,28.00%,13.00%,Ontario,NDP
8,24005,Argenteuil--La Petite-Nation,34.00%,31.00%,20.00%,14.00%,Quebec,Liberal
9,35003,Aurora--Oak Ridges--Richmond Hill,13.00%,24.00%,18.00%,45.00%,Ontario,Liberal
10,10001,Avalon,21.00%,29.00%,33.00%,17.00%,Newfoundland and Labrador,Liberal
11,24006,Avignon--La Mitis--Matane--MatapÃ©dia,36.00%,28.00%,23.00%,14.00%,Quebec,Liberal
12,48001,Banff--Airdrie,14.00%,31.00%,27.00%,28.00%,Alberta,Conservative
13,35004,Barrie--Innisfil,19.00%,34.00%,29.00%,18.00%,Ontario,Conservative
14,35005,Barrie--Springwater--Oro-Medonte,17.00%,33.00%,30.00%,20.00%,Ontario,Conservative
15,48002,Battle River--Crowfoot,24.00%,38.00%,25.00%,14.00%,Alberta,Conservative
16,47001,Battlefords--Lloydminster,28.00%,35.00%,23.00%,14.00%,Saskatchewan,Conservative
17,35006,Bay of Quinte,21.00%,34.00%,30.00%,15.00%,Ontario,Liberal
18,35007,Beaches--East York,14.00%,24.00%,19.00%,43.00%,Ontario,Liberal
19,24007,Beauce,33.00%,29.00%,23.00%,15.00%,Quebec,Conservative
20,24020,Beauport--CÃ´te-de-BeauprÃ©--ÃŽle d'OrlÃ©ans--Charlevoix,24.00%,28.00%,27.00%,21.00%,Quebec,Conservative
21,24008,Beauport--Limoilou,22.00%,27.00%,26.00%,25.00%,Quebec,Conservative
22,13002,BeausÃ©jour,26.00%,28.00%,27.00%,19.00%,New Brunswick/Nouveau-Brunswick,Liberal
23,24009,BÃ©cancour--Nicolet--Saurel,32.00%,27.00%,25.00%,15.00%,Quebec,Bloc QuÃ©bÃ©cois
24,24010,Bellechasse--Les Etchemins--LÃ©vis,24.00%,27.00%,27.00%,22.00%,Quebec,Conservative
25,24011,Beloeil--Chambly,19.00%,27.00%,26.00%,28.00%,Quebec,NDP
