,FED ID,Federal Electoral Districts_x,xNo Certificate,xSecondary School Diploma,xSecondary School Diploma,xUniversity level or above,ï»¿Province,Party Won,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
0,59001,Abbotsford,0.22,0.39,0.19,0.2,British Columba,Conservative,22,39,19,20
1,24001,Abitibi--Baie-James--Nunavik--Eeyou,0.47,0.23,0.18,0.13,Quebec,NDP,47,23,18,13
2,24002,Abitibi--TÃ©miscamingue,0.36,0.26,0.21,0.17,Quebec,NDP,36,26,21,17
3,13001,Acadie--Bathurst,0.36,0.27,0.24,0.13,New Brunswick/Nouveau-Brunswick,Liberal,36,27,24,13
4,24003,Ahuntsic-Cartierville,0.18,0.22,0.2,0.4,Quebec,Liberal,18,22,20,40
5,35001,Ajax,0.15,0.31,0.26,0.28,Ontario,Liberal,15,31,26,28
6,24004,Alfred-Pellan,0.21,0.28,0.24,0.27,Quebec,Liberal,21,28,24,27
7,35002,Algoma--Manitoulin--Kapuskasing,0.29,0.31,0.28,0.13,Ontario,NDP,29,31,28,13
8,24005,Argenteuil--La Petite-Nation,0.34,0.31,0.2,0.14,Quebec,Liberal,34,31,20,14
9,35003,Aurora--Oak Ridges--Richmond Hill,0.13,0.24,0.18,0.45,Ontario,Liberal,13,24,18,45
10,10001,Avalon,0.21,0.29,0.33,0.17,Newfoundland and Labrador,Liberal,21,29,33,17
11,24006,Avignon--La Mitis--Matane--MatapÃ©dia,0.36,0.28,0.23,0.14,Quebec,Liberal,36,28,23,14
12,48001,Banff--Airdrie,0.14,0.31,0.27,0.28,Alberta,Conservative,14,31,27,28
13,35004,Barrie--Innisfil,0.19,0.34,0.29,0.18,Ontario,Conservative,19,34,29,18
14,35005,Barrie--Springwater--Oro-Medonte,0.17,0.33,0.3,0.2,Ontario,Conservative,17,33,30,20
15,48002,Battle River--Crowfoot,0.24,0.38,0.25,0.14,Alberta,Conservative,24,38,25,14
16,47001,Battlefords--Lloydminster,0.28,0.35,0.23,0.14,Saskatchewan,Conservative,28,35,23,14
17,35006,Bay of Quinte,0.21,0.34,0.3,0.15,Ontario,Liberal,21,34,30,15
18,35007,Beaches--East York,0.14,0.24,0.19,0.43,Ontario,Liberal,14,24,19,43
19,24007,Beauce,0.33,0.29,0.23,0.15,Quebec,Conservative,33,29,23,15
20,24020,Beauport--CÃ´te-de-BeauprÃ©--ÃŽle d'OrlÃ©ans--Charlevoix,0.24,0.28,0.27,0.21,Quebec,Conservative,24,28,27,21
21,24008,Beauport--Limoilou,0.22,0.27,0.26,0.25,Quebec,Conservative,22,27,26,25
22,13002,BeausÃ©jour,0.26,0.28,0.27,0.19,New Brunswick/Nouveau-Brunswick,Liberal,26,28,27,19
23,24009,BÃ©cancour--Nicolet--Saurel,0.32,0.27,0.25,0.15,Quebec,Bloc QuÃ©bÃ©cois,32,27,25,15
24,24010,Bellechasse--Les Etchemins--LÃ©vis,0.24,0.27,0.27,0.22,Quebec,Conservative,24,27,27,22
25,24011,Beloeil--Chambly,0.19,0.27,0.26,0.28,Quebec,NDP,19,27,26,28
26,24012,Berthier--MaskinongÃ©,0.34,0.3,0.23,0.13,Quebec,NDP,34,30,23,13
