,Prov/Terr,FED ID,Federal Electoral Districts_x,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,ï»¿Province,Party Won
0,10,10001.0,Avalon,72030,3425814000.0,2670,4470,4880,5600,5750,6110,6310,6800,6810,6620,6160,4340,5520,Newfoundland and Labrador,Liberal
1,10,10002.0,Bonavista--Burin--Trinity,64920,2453784000.0,2330,3410,3100,3290,3790,4560,5520,6220,6620,7400,6840,4980,6870,Newfoundland and Labrador,Liberal
2,10,10003.0,Coast of Bays--Central--Notre Dame,65130,2458068000.0,2270,3520,3340,3450,3850,4750,5700,6260,6670,6730,6470,4810,7320,Newfoundland and Labrador,Liberal
3,10,10004.0,Labrador,20830,1169248000.0,930,1670,1980,1960,1870,1950,2190,2020,1790,1480,1240,820,940,Newfoundland and Labrador,Liberal
4,10,10005.0,Long Range Mountains,77250,2914423000.0,2560,4360,4220,4110,4550,5400,6540,7660,8130,8390,7550,5480,8320,Newfoundland and Labrador,Liberal
5,10,10006.0,St. John's East,66670,3668269000.0,2350,5180,5940,5830,5680,5780,5890,5890,5680,5070,4430,3510,5420,Newfoundland and Labrador,Liberal
6,10,10007.0,St. John's South--Mount Pearl,66270,3086318000.0,2390,4900,5750,5720,5320,4930,5320,6290,6190,5800,4890,3600,5200,Newfoundland and Labrador,Liberal
7,11,11001.0,Cardigan,29970,1237610000.0,1350,2250,2040,2090,2230,2240,2460,2720,2810,2680,2630,1800,2690,Prince Edward Island,Liberal
8,11,11002.0,Charlottetown,29650,1192487000.0,1250,2710,2550,2170,2050,2070,2250,2430,2430,2550,2220,1710,3260,Prince Edward Island,Liberal
9,11,11003.0,Egmont,29310,1079972000.0,1450,2110,1940,1820,1930,2030,2310,2720,2800,2650,2500,1770,3280,Prince Edward Island,Liberal
10,11,11004.0,Malpeque,28880,1194581000.0,1500,2080,1850,1950,2040,2240,2370,2830,2830,2620,2360,1690,2540,Prince Edward Island,Liberal
11,12,12001.0,Cape Breton--Canso,59950,2234171000.0,2200,3910,3360,3240,3440,3810,4390,5320,6100,6400,5960,4570,7280,Nova Scotia,Liberal
12,12,12002.0,Central Nova,60040,2370409000.0,2230,3950,3680,3520,3880,4180,4530,5390,6050,5930,5690,4230,6780,Nova Scotia,Liberal
13,12,12003.0,Cumberland--Colchester,66070,2418184000.0,2520,4470,4000,3940,4000,4550,5130,6150,6440,6360,5870,4650,8000,Nova Scotia,Liberal
14,12,12004.0,Dartmouth--Cole Harbour,74670,3360261000.0,2480,5610,6140,5950,5790,5540,5720,7160,7320,6480,5410,3940,7130,Nova Scotia,Liberal
15,12,12005.0,Halifax,72440,3582762000.0,2160,7580,9050,7100,5510,4750,4920,5530,5730,5490,4800,3340,6490,Nova Scotia,Liberal
16,12,12006.0,Halifax West,75220,3719510000.0,2880,6090,6780,6660,6310,6430,6430,6950,6380,5310,4760,3760,6490,Nova Scotia,Liberal
17,12,12007.0,Kings--Hants,67220,2632211000.0,2530,4770,4420,4230,4620,5010,5550,6470,6690,6260,5590,4100,6980,Nova Scotia,Liberal
18,12,12008.0,Sackville--Preston--Chezzetcook,69410,3231041000.0,2900,5120,5320,5340,5830,6220,6390,7360,6770,5520,4730,3550,4370,Nova Scotia,Liberal
19,12,12009.0,South Shore--St. Margarets,78020,3192345000.0,2790,4440,4310,4380,4670,5460,6210,7490,8120,7880,7460,5660,9170,Nova Scotia,Liberal
20,12,12010.0,Sydney--Victoria,60190,2074518000.0,1980,4430,4140,3670,3530,3860,4310,5500,6150,6050,5380,4020,7170,Nova Scotia,Liberal
21,12,12011.0,West Nova,70150,2465920000.0,2760,4320,4070,4110,4110,4620,5240,6770,7230,6580,6520,5080,8750,Nova Scotia,Liberal
22,13,13001.0,Acadie--Bathurst,68360,2408636000.0,2300,3730,3550,3600,4120,4810,5500,6750,7310,7230,6660,4880,7920,New Brunswick/Nouveau-Brunswick,Liberal
23,13,13002.0,Beauséjour,69250,2802172000.0,2630,3940,4060,4790,5240,5410,5490,6450,6810,6910,6130,4400,7010,New Brunswick/Nouveau-Brunswick,Liberal
24,13,13003.0,Fredericton,64650,2913354000.0,2480,5730,5870,5530,5190,5140,5150,5470,5210,4820,4460,3350,6240,New Brunswick/Nouveau-Brunswick,Liberal
25,13,13004.0,Fundy Royal,64050,2806496000.0,2820,4420,4010,4330,4820,5440,5480,6200,5920,5770,5430,3800,5610,New Brunswick/Nouveau-Brunswick,Liberal
26,13,13005.0,Madawaska--Restigouche,52220,1832242000.0,2100,2860,2870,2810,3180,3390,3830,5130,5900,5590,4960,3560,6050,New Brunswick/Nouveau-Brunswick,Liberal
27,13,13006.0,Miramichi--Grand Lake,48480,1614641000.0,1820,3050,2730,2610,2940,3450,3930,4610,4890,4880,4590,3310,5680,New Brunswick/Nouveau-Brunswick,Liberal
28,13,13007.0,Moncton--Riverview--Dieppe,75080,3066088000.0,2740,5940,6330,6240,5970,6160,5890,6320,6280,5880,5260,4130,7950,New Brunswick/Nouveau-Brunswick,Liberal
29,13,13008.0,New Brunswick Southwest,53530,2193562000.0,2120,3560,3490,3530,3830,4060,4410,5200,5310,5150,4510,3260,5100,New Brunswick/Nouveau-Brunswick,Liberal
30,13,13009.0,Saint John--Rothesay,64080,2708692000.0,2390,4930,4860,4740,4570,4820,5010,5990,6060,5530,4780,3620,6780,New Brunswick/Nouveau-Brunswick,Liberal
31,13,13010.0,Tobique--Mactaquac,55650,2068388000.0,2370,3710,3470,3700,3860,4350,4500,5210,5640,5380,4860,3290,5330,New Brunswick/Nouveau-Brunswick,Liberal
32,24,24001.0,Abitibi--Baie-James--Nunavik--Eeyou,62830,2472070000.0,3450,5670,5890,5310,5160,5110,4990,5800,5970,4830,3830,2780,4060,Quebec,NDP
33,24,24002.0,Abitibi--Témiscamingue,83840,3553223000.0,3730,6130,6230,6090,6260,5710,5980,7800,8780,7860,6380,4790,8090,Quebec,NDP
34,24,24003.0,Ahuntsic-Cartierville,89820,3651245000.0,2780,6150,7190,8030,8640,7940,7390,7350,7110,6310,5320,4570,11040,Quebec,Liberal
35,24,24004.0,Alfred-Pellan,80660,3671183000.0,3310,6540,5460,5430,5900,6500,7060,8030,7970,6310,5130,4230,8790,Quebec,Liberal
36,24,24005.0,Argenteuil--La Petite-Nation,78070,3008332000.0,2700,4830,5100,5080,5200,5200,5820,7790,8560,8090,6940,5300,7470,Quebec,Liberal
37,24,24006.0,Avignon--La Mitis--Matane--Matapédia,60560,2004118000.0,2110,3510,3490,3490,3880,3710,3770,5420,6860,6790,5920,4410,7210,Quebec,Liberal
38,24,24007.0,Beauce,88070,3340556000.0,4070,6080,6230,6640,7280,6250,6240,7870,8500,7940,6900,5180,8900,Quebec,Conservative
39,24,24008.0,Beauport--Limoilou,77740,2895465000.0,2340,5280,6590,6680,6290,5100,4950,6440,7090,6630,6000,4920,9430,Quebec,Conservative
40,24,24009.0,Bécancour--Nicolet--Saurel,78150,2962666000.0,2700,4590,4780,4800,5570,4760,5200,6730,8090,8200,7220,5990,9510,Quebec,Bloc QuÃ©bÃ©cois
41,24,24010.0,Bellechasse--Les Etchemins--Lévis,95240,3978108000.0,3830,6140,6290,6550,7240,6480,6510,8210,9240,8810,8120,6570,11240,Quebec,Conservative
42,24,24011.0,Beloeil--Chambly,93070,4730364000.0,3900,6380,6230,7370,9000,8130,7740,8820,8560,7210,6550,5260,7930,Quebec,NDP
43,24,24012.0,Berthier--Maskinongé,86630,3128449000.0,3110,5180,5370,5690,6390,5620,6030,8270,9350,9000,7710,6110,8810,Quebec,NDP
44,24,24013.0,Thérèse-De Blainville,81070,4276452000.0,4110,6680,5410,5080,6060,7330,7880,8550,7770,6010,4920,4200,7080,Quebec,Liberal
45,24,24014.0,Pierre-Boucher--Les Patriotes--Verchères,81490,4596476000.0,3420,5770,5330,5710,6650,6530,6860,7990,8080,7070,5970,4890,7200,Quebec,Bloc QuÃ©bÃ©cois
46,24,24015.0,Bourassa,76510,2201845000.0,2500,5650,5840,5970,6530,6220,6530,6540,6240,5610,4970,4110,9790,Quebec,Liberal
47,24,24016.0,Brome--Missisquoi,86810,3686925000.0,3190,4780,4850,5220,5800,5680,5890,7720,8910,9290,8710,6900,9890,Quebec,Liberal
48,24,24017.0,Brossard--Saint-Lambert,87080,4502396000.0,3030,5760,5880,6250,7350,7070,6860,7170,7150,6880,6860,5980,10830,Quebec,Liberal
49,24,24018.0,Rimouski-Neigette--Témiscouata--Les Basques,71590,2706354000.0,2640,4430,4350,4310,4920,4430,4390,6100,7570,7790,6750,5050,8860,Quebec,NDP
50,24,24019.0,Charlesbourg--Haute-Saint-Charles,86940,3795622000.0,3370,5470,6180,6690,7650,7030,6570,7420,7840,7030,6660,5810,9220,Quebec,Conservative
51,24,24020.0,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,78450,3347711000.0,3390,4790,4720,5220,5990,5550,5770,7350,8220,7790,6700,5070,7880,Quebec,Conservative
52,24,24021.0,Châteauguay--Lacolle,80680,3228119000.0,3270,6060,6130,6460,7250,6680,6590,7530,7540,6220,5190,4290,7470,Quebec,Liberal
53,24,24022.0,Chicoutimi--Le Fjord,67730,2791741000.0,2320,4710,4800,4580,4870,4270,4010,5920,7210,6680,5710,4500,8160,Quebec,Liberal
