,FED ID,Federal Electoral Districts_x, No Certificate , Secondary School Diploma , Non-university certificate or diploma , University level or above ,ï»¿Province,Party Won
0,59001,Abbotsford, 0.22 , 0.39 , 0.19 , 0.20 ,British Columba,Conservative
1,24001,Abitibi--Baie-James--Nunavik--Eeyou, 0.47 , 0.23 , 0.18 , 0.13 ,Quebec,NDP
2,24002,Abitibi--TÃ©miscamingue, 0.36 , 0.26 , 0.21 , 0.17 ,Quebec,NDP
3,13001,Acadie--Bathurst, 0.36 , 0.27 , 0.24 , 0.13 ,New Brunswick/Nouveau-Brunswick,Liberal
4,24003,Ahuntsic-Cartierville, 0.18 , 0.22 , 0.20 , 0.40 ,Quebec,Liberal
5,35001,Ajax, 0.15 , 0.31 , 0.26 , 0.28 ,Ontario,Liberal
6,24004,Alfred-Pellan, 0.21 , 0.28 , 0.24 , 0.27 ,Quebec,Liberal
7,35002,Algoma--Manitoulin--Kapuskasing, 0.29 , 0.31 , 0.28 , 0.13 ,Ontario,NDP
8,24005,Argenteuil--La Petite-Nation, 0.34 , 0.31 , 0.20 , 0.14 ,Quebec,Liberal
9,35003,Aurora--Oak Ridges--Richmond Hill, 0.13 , 0.24 , 0.18 , 0.45 ,Ontario,Liberal
10,10001,Avalon, 0.21 , 0.29 , 0.33 , 0.17 ,Newfoundland and Labrador,Liberal
11,24006,Avignon--La Mitis--Matane--MatapÃ©dia, 0.36 , 0.28 , 0.23 , 0.14 ,Quebec,Liberal
12,48001,Banff--Airdrie, 0.14 , 0.31 , 0.27 , 0.28 ,Alberta,Conservative
13,35004,Barrie--Innisfil, 0.19 , 0.34 , 0.29 , 0.18 ,Ontario,Conservative
14,35005,Barrie--Springwater--Oro-Medonte, 0.17 , 0.33 , 0.30 , 0.20 ,Ontario,Conservative
15,48002,Battle River--Crowfoot, 0.24 , 0.38 , 0.25 , 0.14 ,Alberta,Conservative
16,47001,Battlefords--Lloydminster, 0.28 , 0.35 , 0.23 , 0.14 ,Saskatchewan,Conservative
17,35006,Bay of Quinte, 0.21 , 0.34 , 0.30 , 0.15 ,Ontario,Liberal
18,35007,Beaches--East York, 0.14 , 0.24 , 0.19 , 0.43 ,Ontario,Liberal
19,24007,Beauce, 0.33 , 0.29 , 0.23 , 0.15 ,Quebec,Conservative
20,24020,Beauport--CÃ´te-de-BeauprÃ©--ÃŽle d'OrlÃ©ans--Charlevoix, 0.24 , 0.28 , 0.27 , 0.21 ,Quebec,Conservative
21,24008,Beauport--Limoilou, 0.22 , 0.27 , 0.26 , 0.25 ,Quebec,Conservative
22,13002,BeausÃ©jour, 0.26 , 0.28 , 0.27 , 0.19 ,New Brunswick/Nouveau-Brunswick,Liberal
