FED ID,Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
59001,Abbotsford,22%,39%,19%,20%
24001,Abitibi--Baie-James--Nunavik--Eeyou,47%,23%,18%,13%
24002,Abitibi--Témiscamingue,36%,26%,21%,17%
13001,Acadie--Bathurst,36%,27%,24%,13%
24003,Ahuntsic-Cartierville,18%,22%,20%,40%
35001,Ajax,15%,31%,26%,28%
48,Alberta,18%,32%,22%,28%
24004,Alfred-Pellan,21%,28%,24%,27%
35002,Algoma--Manitoulin--Kapuskasing,29%,31%,28%,13%
24005,Argenteuil--La Petite-Nation,34%,31%,20%,14%
35003,Aurora--Oak Ridges--Richmond Hill,13%,24%,18%,45%
10001,Avalon,21%,29%,33%,17%
24006,Avignon--La Mitis--Matane--Matapédia,36%,28%,23%,14%
48001,Banff--Airdrie,14%,31%,27%,28%
35004,Barrie--Innisfil,19%,34%,29%,18%
35005,Barrie--Springwater--Oro-Medonte,17%,33%,30%,20%
48002,Battle River--Crowfoot,24%,38%,25%,14%
47001,Battlefords--Lloydminster,28%,35%,23%,14%
35006,Bay of Quinte,21%,34%,30%,15%
35007,Beaches--East York,14%,24%,19%,43%
24007,Beauce,33%,29%,23%,15%
24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,24%,28%,27%,21%
24008,Beauport--Limoilou,22%,27%,26%,25%
13002,Beauséjour,26%,28%,27%,19%
24009,Bécancour--Nicolet--Saurel,32%,27%,25%,15%
24010,Bellechasse--Les Etchemins--Lévis,24%,27%,27%,22%
24011,Beloeil--Chambly,19%,27%,26%,28%
24012,Berthier--Maskinongé,34%,30%,23%,13%
10002,Bonavista--Burin--Trinity,35%,30%,27%,8%
24015,Bourassa,35%,28%,18%,19%
48003,Bow River,28%,36%,22%,14%
35008,Brampton Centre,20%,35%,22%,22%
35009,Brampton East,22%,32%,16%,29%
35010,Brampton North,20%,33%,21%,26%
35011,Brampton South,19%,31%,21%,29%
35012,Brampton West,17%,31%,21%,30%
46001,Brandon--Souris,23%,36%,23%,18%
35013,Brantford--Brant,21%,35%,28%,16%
59,British Columbia,17%,34%,21%,29%
24016,Brome--Missisquoi,27%,31%,21%,22%
24017,Brossard--Saint-Lambert,14%,23%,21%,42%
35014,Bruce--Grey--Owen Sound,25%,33%,28%,15%
35015,Burlington,13%,29%,27%,31%
59002,Burnaby North--Seymour,12%,32%,19%,37%
59003,Burnaby South,12%,29%,19%,41%
48004,Calgary Centre,7%,21%,16%,55%
48005,Calgary Confederation,9%,23%,17%,51%
48006,Calgary Forest Lawn,28%,37%,19%,16%
48007,Calgary Heritage,12%,29%,21%,38%
48008,Calgary Midnapore,13%,31%,23%,33%
48009,Calgary Nose Hill,15%,30%,20%,35%
48010,Calgary Rocky Ridge,10%,24%,21%,45%
48011,Calgary Shepard,15%,31%,24%,30%
48012,Calgary Signal Hill,11%,24%,18%,46%
48013,Calgary Skyview,21%,34%,18%,27%
35016,Cambridge,23%,35%,25%,17%
1,Canada,19%,30%,23%,28%
12001,Cape Breton--Canso,26%,29%,28%,17%
11001,Cardigan,19%,30%,29%,23%
59004,Cariboo--Prince George,25%,39%,20%,16%
35088,Carleton,11%,26%,26%,37%
47004,Carlton Trail--Eagle Creek,23%,37%,24%,16%
12002,Central Nova,24%,29%,28%,19%
59005,Central Okanagan--Similkameen--Nicola,18%,36%,27%,19%
24019,Charlesbourg--Haute-Saint-Charles,18%,28%,29%,25%
46002,Charleswood--St. James--Assiniboia--Headingley,15%,36%,23%,27%
11002,Charlottetown,15%,28%,26%,31%
24021,Châteauguay--Lacolle,27%,34%,23%,16%
35017,Chatham-Kent--Leamington,28%,32%,27%,13%
24022,Chicoutimi--Le Fjord,24%,26%,25%,25%
59006,Chilliwack--Hope,22%,41%,22%,15%
46003,Churchill--Keewatinook Aski,50%,27%,14%,10%
59007,Cloverdale--Langley City,17%,38%,23%,22%
10003,Coast of Bays--Central--Notre Dame,34%,30%,25%,10%
24023,Compton--Stanstead,27%,28%,23%,22%
59008,Coquitlam--Port Coquitlam,13%,33%,21%,32%
59009,Courtenay--Alberni,20%,35%,25%,19%
59010,Cowichan--Malahat--Langford,19%,36%,25%,20%
12003,Cumberland--Colchester,24%,32%,27%,17%
47002,Cypress Hills--Grasslands,24%,39%,23%,14%
12004,Dartmouth--Cole Harbour,16%,30%,26%,29%
46004,Dauphin--Swan River--Neepawa,34%,34%,21%,11%
35018,Davenport,22%,25%,17%,36%
59011,Delta,16%,36%,21%,26%
47003,Desnethé--Missinippi--Churchill River,48%,28%,15%,9%
35019,Don Valley East,16%,28%,19%,37%
35020,Don Valley North,11%,23%,16%,50%
35021,Don Valley West,11%,20%,13%,56%
24024,Dorval--Lachine--LaSalle,21%,29%,21%,28%
24025,Drummond,31%,29%,24%,15%
35022,Dufferin--Caledon,18%,34%,27%,21%
35023,Durham,16%,32%,32%,20%
48014,Edmonton Centre,14%,29%,19%,38%
48015,Edmonton Griesbach,27%,35%,21%,17%
48016,Edmonton Manning,21%,36%,23%,20%
48017,Edmonton Mill Woods,18%,35%,21%,26%
48018,Edmonton Riverbend,10%,24%,19%,47%
48019,Edmonton Strathcona,11%,27%,18%,44%
48020,Edmonton West,16%,32%,22%,30%
48021,Edmonton--Wetaskiwin,17%,33%,23%,27%
35024,Eglinton--Lawrence,14%,23%,15%,48%
11003,Egmont,28%,35%,24%,13%
35025,Elgin--Middlesex--London,24%,32%,30%,14%
46005,Elmwood--Transcona,20%,39%,22%,19%
59026,Esquimalt--Saanich--Sooke,16%,35%,24%,25%
35026,Essex,17%,33%,27%,22%
35027,Etobicoke Centre,15%,28%,19%,38%
35029,Etobicoke North,25%,33%,19%,22%
35028,Etobicoke--Lakeshore,13%,24%,21%,43%
35030,Flamborough--Glanbrook,16%,30%,29%,25%
59012,Fleetwood--Port Kells,18%,35%,19%,27%
48022,Foothills,18%,34%,25%,24%
48023,Fort McMurray--Cold Lake,18%,34%,27%,20%
13003,Fredericton,14%,32%,21%,33%
13004,Fundy Royal,18%,35%,28%,19%
24026,Gaspésie--Les Îles-de-la-Madeleine,39%,25%,23%,14%
24027,Gatineau,26%,30%,23%,21%
35031,Glengarry--Prescott--Russell,20%,35%,28%,17%
48024,Grande Prairie--Mackenzie,27%,36%,23%,14%
35032,Guelph,16%,30%,21%,33%
35033,Haldimand--Norfolk,24%,35%,29%,12%
35034,Haliburton--Kawartha Lakes--Brock,22%,35%,30%,13%
12005,Halifax,11%,26%,16%,47%
12006,Halifax West,13%,26%,22%,39%
35035,Hamilton Centre,25%,30%,22%,23%
35036,Hamilton East--Stoney Creek,25%,34%,25%,16%
35037,Hamilton Mountain,21%,34%,28%,17%
35038,Hamilton West--Ancaster--Dundas,14%,27%,23%,36%
35039,Hastings--Lennox and Addington,22%,34%,31%,13%
24028,Hochelaga,20%,23%,22%,35%
24029,Honoré-Mercier,26%,29%,23%,23%
24030,Hull--Aylmer,19%,24%,21%,37%
35121,Humber River--Black Creek,32%,33%,18%,17%
35040,Huron--Bruce,24%,31%,30%,16%
24031,Joliette,32%,31%,21%,16%
24032,Jonquière,24%,26%,31%,20%
59013,Kamloops--Thompson--Cariboo,19%,39%,22%,20%
35041,Kanata--Carleton,11%,24%,25%,41%
59014,Kelowna--Lake Country,16%,36%,26%,22%
35042,Kenora,37%,28%,22%,13%
46006,Kildonan--St. Paul,18%,35%,22%,25%
12007,Kings--Hants,22%,30%,28%,20%
35044,Kingston and the Islands,14%,29%,26%,31%
35043,King--Vaughan,17%,28%,20%,35%
35045,Kitchener Centre,20%,31%,23%,26%
35047,Kitchener South--Hespeler,18%,32%,27%,23%
35046,Kitchener--Conestoga,22%,29%,24%,24%
59015,Kootenay--Columbia,18%,35%,27%,20%
24033,La Pointe-de-l'Île,27%,30%,21%,22%
24034,La Prairie,21%,28%,24%,27%
10004,Labrador,30%,26%,31%,13%
24035,Lac-Saint-Jean,32%,26%,26%,16%
24036,Lac-Saint-Louis,11%,23%,23%,43%
48025,Lakeland,27%,34%,25%,14%
35048,Lambton--Kent--Middlesex,22%,32%,30%,15%
35049,Lanark--Frontenac--Kingston,18%,33%,32%,18%
59016,Langley--Aldergrove,17%,39%,22%,22%
24037,LaSalle--Émard--Verdun,20%,25%,20%,34%
24038,Laurentides--Labelle,29%,29%,22%,20%
24039,Laurier--Sainte-Marie,10%,17%,18%,56%
24040,Laval--Les Îles,22%,28%,22%,28%
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,19%,33%,31%,16%
48026,Lethbridge,19%,35%,24%,22%
24042,Lévis--Lotbinière,19%,25%,29%,27%
35052,London North Centre,14%,28%,22%,35%
35053,London West,13%,27%,26%,34%
35051,London--Fanshawe,23%,35%,28%,14%
10005,Long Range Mountains,31%,29%,27%,13%
24041,Longueuil--Charles-LeMoyne,27%,29%,21%,23%
24043,Longueuil--Saint-Hubert,22%,26%,23%,29%
24044,Louis-Hébert,9%,18%,25%,48%
24045,Louis-Saint-Laurent,16%,26%,28%,29%
13005,Madawaska--Restigouche,31%,31%,24%,14%
11004,Malpeque,18%,30%,30%,22%
24046,Manicouagan,37%,26%,23%,14%
46,Manitoba,23%,33%,20%,23%
24065,Marc-Aurèle-Fortin,19%,27%,26%,28%
35054,Markham--Stouffville,15%,28%,20%,38%
35055,Markham--Thornhill,21%,31%,15%,33%
35056,Markham--Unionville,15%,26%,16%,44%
48027,Medicine Hat--Cardston--Warner,25%,36%,26%,14%
24047,Mégantic--L'Érable,37%,29%,23%,12%
35057,Milton,12%,26%,24%,39%
24048,Mirabel,27%,30%,26%,17%
13006,Miramichi--Grand Lake,31%,34%,24%,11%
59017,Mission--Matsqui--Fraser Canyon,25%,40%,20%,15%
35058,Mississauga Centre,13%,27%,18%,42%
35059,Mississauga East--Cooksville,19%,30%,21%,31%
35060,Mississauga--Erin Mills,12%,25%,19%,44%
35061,Mississauga--Lakeshore,15%,28%,21%,36%
35062,Mississauga--Malton,19%,29%,18%,34%
35063,Mississauga--Streetsville,13%,28%,21%,38%
13007,Moncton--Riverview--Dieppe,17%,31%,27%,25%
24049,Montarville,15%,25%,26%,34%
24050,Montcalm,34%,30%,23%,13%
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,33%,27%,24%,16%
24052,Mont-Royal,13%,22%,18%,47%
47005,Moose Jaw--Lake Centre--Lanigan,21%,39%,23%,17%
59018,Nanaimo--Ladysmith,17%,36%,23%,23%
35064,Nepean,12%,24%,24%,40%
13,New Brunswick,23%,32%,25%,20%
13008,New Brunswick Southwest,20%,35%,27%,17%
59019,New Westminster--Burnaby,13%,31%,21%,35%
10,Newfoundland and Labrador,25%,29%,28%,18%
35065,Newmarket--Aurora,15%,29%,24%,33%
35066,Niagara Centre,21%,36%,27%,16%
35067,Niagara Falls,19%,36%,26%,19%
35068,Niagara West,16%,32%,29%,23%
35069,Nickel Belt,22%,30%,34%,14%
35070,Nipissing--Timiskaming,21%,29%,32%,18%
59037,North Island--Powell River,21%,36%,25%,18%
59020,North Okanagan--Shuswap,21%,37%,26%,16%
59021,North Vancouver,10%,27%,20%,44%
35071,Northumberland--Peterborough South,19%,34%,30%,17%
61,Northwest Territories,30%,25%,22%,23%
61001,Notre-Dame-de-Grâce--Westmount,9%,18%,18%,55%
24053,Nova Scotia,21%,29%,25%,25%
12,Nunavut,55%,17%,17%,12%
62,Oakville,12%,25%,19%,44%
62001,Oakville North--Burlington,11%,23%,20%,46%
35072,Ontario,18%,30%,23%,30%
35073,Orléans,11%,27%,26%,36%
35,Oshawa,22%,36%,29%,13%
35076,Ottawa Centre,9%,19%,14%,58%
35074,Ottawa South,15%,27%,19%,39%
35075,Ottawa West--Nepean,14%,27%,21%,38%
35077,Ottawa--Vanier,16%,27%,19%,39%
35079,Outremont,10%,18%,16%,56%
35078,Oxford,24%,35%,28%,13%
24054,Papineau,23%,22%,18%,37%
35080,Parkdale--High Park,11%,20%,17%,52%
