,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
0,59001,Abbotsford,22%,39%,19%,20%,British Columba,Conservative
1,24001,Abitibi--Baie-James--Nunavik--Eeyou,47%,23%,18%,13%,Quebec,NDP
2,24002,Abitibi--TÃ©miscamingue,36%,26%,21%,17%,Quebec,NDP
3,13001,Acadie--Bathurst,36%,27%,24%,13%,New Brunswick/Nouveau-Brunswick,Liberal
4,24003,Ahuntsic-Cartierville,18%,22%,20%,40%,Quebec,Liberal
5,35001,Ajax,15%,31%,26%,28%,Ontario,Liberal
6,24004,Alfred-Pellan,21%,28%,24%,27%,Quebec,Liberal
7,35002,Algoma--Manitoulin--Kapuskasing,29%,31%,28%,13%,Ontario,NDP
8,24005,Argenteuil--La Petite-Nation,34%,31%,20%,14%,Quebec,Liberal
9,35003,Aurora--Oak Ridges--Richmond Hill,13%,24%,18%,45%,Ontario,Liberal
10,10001,Avalon,21%,29%,33%,17%,Newfoundland and Labrador,Liberal
11,24006,Avignon--La Mitis--Matane--MatapÃ©dia,36%,28%,23%,14%,Quebec,Liberal
12,48001,Banff--Airdrie,14%,31%,27%,28%,Alberta,Conservative
13,35004,Barrie--Innisfil,19%,34%,29%,18%,Ontario,Conservative
14,35005,Barrie--Springwater--Oro-Medonte,17%,33%,30%,20%,Ontario,Conservative
15,48002,Battle River--Crowfoot,24%,38%,25%,14%,Alberta,Conservative
16,47001,Battlefords--Lloydminster,28%,35%,23%,14%,Saskatchewan,Conservative
17,35006,Bay of Quinte,21%,34%,30%,15%,Ontario,Liberal
18,35007,Beaches--East York,14%,24%,19%,43%,Ontario,Liberal
19,24007,Beauce,33%,29%,23%,15%,Quebec,Conservative
20,24020,Beauport--CÃ´te-de-BeauprÃ©--ÃŽle d'OrlÃ©ans--Charlevoix,24%,28%,27%,21%,Quebec,Conservative
21,24008,Beauport--Limoilou,22%,27%,26%,25%,Quebec,Conservative
22,13002,BeausÃ©jour,26%,28%,27%,19%,New Brunswick/Nouveau-Brunswick,Liberal
23,24009,BÃ©cancour--Nicolet--Saurel,32%,27%,25%,15%,Quebec,Bloc QuÃ©bÃ©cois
24,24010,Bellechasse--Les Etchemins--LÃ©vis,24%,27%,27%,22%,Quebec,Conservative
25,24011,Beloeil--Chambly,19%,27%,26%,28%,Quebec,NDP
26,24012,Berthier--MaskinongÃ©,34%,30%,23%,13%,Quebec,NDP
27,10002,Bonavista--Burin--Trinity,35%,30%,27%,8%,Newfoundland and Labrador,Liberal
28,24015,Bourassa,35%,28%,18%,19%,Quebec,Liberal
29,48003,Bow River,28%,36%,22%,14%,Alberta,Conservative
30,35008,Brampton Centre,20%,35%,22%,22%,Ontario,Liberal
31,35009,Brampton East,22%,32%,16%,29%,Ontario,Liberal
