Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
10,10001,Avalon,36620,1295940000 ,3220 ,2540 ,3870 ,4640 ,3250 ,2670 ,2330 ,1990 ,1880 ,1850 ,1320 ,1080 ,1570 ,1230 ,1120 ,890 ,870 ,230 ,80 ,
10,10002,Bonavista--Burin--Trinity,32720,888810000 ,3150 ,2560 ,4590 ,5680 ,3780 ,2930 ,2280 ,1600 ,1240 ,1040 ,670 ,610 ,640 ,530 ,510 ,430 ,390 ,80 ,30 ,
10,10003,Coast of Bays--Central--Notre Dame,33290,951860000 ,3230 ,2620 ,4810 ,5360 ,3620 ,2800 ,2200 ,1630 ,1330 ,1130 ,740 ,620 ,800 ,660 ,630 ,490 ,430 ,160 ,40 ,
10,10004,Labrador,10330,414185000 ,1350 ,770 ,820 ,800 ,760 ,650 ,590 ,610 ,500 ,460 ,400 ,300 ,550 ,430 ,320 ,280 ,640 ,90 ,30 ,
10,10005,Long Range Mountains,39580,1185410000 ,3410 ,2900 ,5250 ,6250 ,4270 ,3420 ,2620 ,2110 ,1700 ,1510 ,1090 ,920 ,1040 ,880 ,850 ,630 ,570 ,120 ,50 ,
10,10006,St. John's East,34380,1546945000 ,2880 ,2170 ,2860 ,3110 ,2410 ,2070 ,2040 ,2040 ,1870 ,1890 ,1400 ,1240 ,1890 ,1590 ,1350 ,1050 ,1620 ,640 ,260 ,
10,10007,St. John's South--Mount Pearl,34850,1346448000 ,2320 ,2320 ,3320 ,3790 ,2960 ,2580 ,2340 ,2190 ,2030 ,1940 ,1410 ,1240 ,1690 ,1330 ,1100 ,850 ,1080 ,290 ,100 ,
TOTAL,,,221760,7629597000 ,19560 ,15870 ,25510 ,29620 ,21050 ,17110 ,14410 ,12170 ,10540 ,9810 ,7030 ,5990 ,8180 ,6640 ,5870 ,4610 ,5610 ,1600 ,600 ,
11,11001,Cardigan,15380,553128000 ,1200 ,950 ,1270 ,1770 ,1510 ,1280 ,1160 ,1090 ,910 ,830 ,590 ,480 ,730 ,570 ,420 ,190 ,320 ,90 ,20 ,
11,11002,Charlottetown,15800,564523000 ,1410 ,1010 ,1420 ,1770 ,1510 ,1300 ,1150 ,1010 ,830 ,790 ,630 ,490 ,720 ,590 ,410 ,240 ,400 ,110 ,40 ,
11,11003,Egmont,15170,481397000 ,1030 ,1010 ,1560 ,2030 ,1680 ,1480 ,1180 ,1070 ,850 ,710 ,520 ,430 ,540 ,430 ,290 ,140 ,160 ,40 ,20 ,
11,11004,Malpeque,14770,528673000 ,1080 ,1010 ,1180 ,1540 ,1420 ,1310 ,1150 ,1030 ,880 ,840 ,570 ,510 ,750 ,590 ,370 ,180 ,260 ,70 ,40 ,
TOTAL,,,61110,2127721000 ,4720 ,3980 ,5430 ,7110 ,6110 ,5360 ,4640 ,4200 ,3460 ,3170 ,2300 ,1920 ,2740 ,2190 ,1500 ,750 ,1130 ,310 ,110 ,
12,12001,Cape Breton--Canso,31120,955229000 ,2810 ,2970 ,3030 ,4160 ,3630 ,2350 ,2230 ,2040 ,1550 ,1180 ,970 ,720 ,960 ,810 ,770 ,350 ,440 ,120 ,30 ,
12,12002,Central Nova,31170,1018320000 ,2780 ,2490 ,3070 ,3830 ,3540 ,2320 ,2200 ,2000 ,1790 ,1430 ,1000 ,840 ,1070 ,920 ,810 ,320 ,550 ,150 ,70 ,
12,12003,Cumberland--Colchester,34380,1064496000 ,3320 ,2930 ,3490 ,4480 ,4000 ,2660 ,2390 ,2290 ,1780 ,1400 ,1000 ,810 ,1080 ,890 ,770 ,360 ,530 ,150 ,50 ,
12,12004,Dartmouth--Cole Harbour,39560,1513362000 ,3100 ,2930 ,3060 ,3400 ,3630 ,2770 ,2730 ,2760 ,2410 ,2280 ,1690 ,1390 ,2160 ,1760 ,1340 ,720 ,1090 ,260 ,80 ,
12,12005,Halifax,37770,1656041000 ,4130 ,2960 ,2700 ,3430 ,2980 ,2270 ,2230 ,2210 ,1910 ,1850 ,1340 ,1170 ,1970 ,1700 ,1300 ,780 ,1690 ,810 ,340 ,
12,12006,Halifax West,39920,1664857000 ,4170 ,2600 ,2620 ,2990 ,3090 ,2480 ,2540 ,2690 ,2330 ,2260 ,1710 ,1480 ,2350 ,2010 ,1480 ,870 ,1580 ,530 ,150 ,
12,12007,Kings--Hants,34870,1136792000 ,3680 ,2860 ,3210 ,4030 ,3790 ,2600 ,2370 ,2250 ,1930 ,1640 ,1140 ,900 ,1310 ,1020 ,810 ,400 ,630 ,200 ,80 ,
12,12008,Sackville--Preston--Chezzetcook,35820,1346214000 ,3040 ,2370 ,2770 ,3020 ,3290 ,2600 ,2540 ,2630 ,2280 ,2140 ,1540 ,1270 ,1930 ,1490 ,1110 ,600 ,900 ,220 ,70 ,
12,12009,South Shore--St. Margarets,40070,1305736000 ,3720 ,3310 ,4000 ,5180 ,4400 ,3070 ,2720 ,2490 ,2010 ,1700 ,1240 ,1010 ,1460 ,1220 ,900 ,510 ,800 ,270 ,70 ,
12,12010,Sydney--Victoria,31670,945319000 ,3510 ,3040 ,3020 ,4090 ,3580 ,2490 ,2190 ,1900 ,1590 ,1230 ,890 ,730 ,960 ,810 ,700 ,360 ,440 ,120 ,40 ,
12,12011,West Nova,36140,1044859000 ,3600 ,3130 ,3960 ,5260 ,4420 ,2900 ,2480 ,2240 ,1680 ,1330 ,1000 ,710 ,1070 ,880 ,620 ,290 ,410 ,130 ,50 ,
TOTAL,,,392470,13651225000 ,37850 ,31600 ,34920 ,43860 ,40350 ,28510 ,26630 ,25490 ,21260 ,18450 ,13520 ,11010 ,16300 ,13530 ,10630 ,5570 ,9060 ,2950 ,1000 ,
13,13001,Acadie--Bathurst,34610,997654000 ,2760 ,3140 ,4110 ,5900 ,3600 ,3100 ,2440 ,1890 ,1610 ,1230 ,850 ,650 ,960 ,980 ,560 ,270 ,420 ,110 ,30 ,
13,13002,Beauséjour,35140,1239967000 ,2360 ,2380 ,3250 ,4220 ,3440 ,2990 ,2690 ,2440 ,2230 ,1770 ,1240 ,1000 ,1420 ,1320 ,940 ,460 ,720 ,220 ,70 ,
13,13003,Fredericton,33630,1288034000 ,3530 ,2380 ,2720 ,3100 ,2870 ,2250 ,2110 ,2000 ,2010 ,1810 ,1250 ,1180 ,1870 ,1570 ,980 ,600 ,1010 ,310 ,100 ,
13,13004,Fundy Royal,32800,1149579000 ,2900 ,2430 ,2970 ,3570 ,3160 ,2550 ,2320 ,2150 ,2050 ,1610 ,1180 ,950 ,1460 ,1210 ,800 ,480 ,740 ,220 ,70 ,
13,13005,Madawaska--Restigouche,26660,796059000 ,1990 ,2440 ,2910 ,4050 ,3040 ,2420 ,1890 ,1560 ,1460 ,1040 ,680 ,510 ,780 ,800 ,460 ,180 ,350 ,90 ,30 ,
13,13006,Miramichi--Grand Lake,24710,693300000 ,3010 ,2110 ,2740 ,3670 ,2620 ,1990 ,1670 ,1300 ,1080 ,950 ,630 ,540 ,810 ,660 ,400 ,180 ,260 ,60 ,20 ,
13,13007,Moncton--Riverview--Dieppe,39660,1405081000 ,3030 ,3160 ,3550 ,4270 ,3910 ,3130 ,2840 ,2670 ,2460 ,2050 ,1420 ,1190 ,1750 ,1510 ,1020 ,540 ,840 ,260 ,80 ,
13,13008,New Brunswick Southwest,27230,890126000 ,2600 ,2100 ,2640 ,3120 ,2830 ,2240 ,1990 ,1720 ,1550 ,1310 ,860 ,720 ,1010 ,930 ,600 ,330 ,510 ,130 ,40 ,
