Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income
10,10001,Avalon,72030,3425814000,3168392000,3060218000
10,10002,Bonavista--Burin--Trinity,64920,2453784000,2303218000,2185134000
10,10003,Coast of Bays--Central--Notre Dame,65130,2458068000,2286474000,2173178000
10,10004,Labrador,20830,1169248000,1089412000,992898000
10,10005,Long Range Mountains,77250,2914423000,2714495000,2579982000
10,10006,St. John's East,66670,3668269000,3345338000,3268761000
10,10007,St. John's South--Mount Pearl,66270,3086318000,2836073000,2739070000
TOTAL,,,433100,19175924000,17743402000,16999241000
11,11001,Cardigan,29970,1237610000,1140059000,1103647000
11,11002,Charlottetown,29650,1192487000,1098089000,1060050000
11,11003,Egmont,29310,1079972000,1003318000,959122000
11,11004,Malpeque,28880,1194581000,1098945000,1059173000
TOTAL,,,117810,4704650000,4340412000,4181993000
12,12001,Cape Breton--Canso,59950,2234171000,2074721000,1980399000
12,12002,Central Nova,60040,2370409000,2190341000,2106315000
12,12003,Cumberland--Colchester,66070,2418184000,2242671000,2156801000
12,12004,Dartmouth--Cole Harbour,74670,3360261000,3056811000,2990209000
12,12005,Halifax,72440,3582762000,3290294000,3209508000
12,12006,Halifax West,75220,3719510000,3389142000,3331581000
12,12007,Kings--Hants,67220,2632211000,2429195000,2353692000
12,12008,Sackville--Preston--Chezzetcook,69410,3231041000,2949533000,2896662000
12,12009,South Shore--St. Margarets,78020,3192345000,2938695000,2823590000
12,12010,Sydney--Victoria,60190,2074518000,1928247000,1829330000
12,12011,West Nova,70150,2465920000,2288974000,2183204000
TOTAL,,,753400,31281331000,28778623000,27861290000
13,13001,Acadie--Bathurst,68360,2408636000,2248847000,2130475000
13,13002,Beauséjour,69250,2802172000,2578629000,2499544000
13,13003,Fredericton,64650,2913354000,2638116000,2585539000
13,13004,Fundy Royal,64050,2806496000,2559719000,2503047000
13,13005,Madawaska--Restigouche,52220,1832242000,1694801000,1603950000
13,13006,Miramichi--Grand Lake,48480,1614641000,1504310000,1431317000
13,13007,Moncton--Riverview--Dieppe,75080,3066088000,2813633000,2734771000
13,13008,New Brunswick Southwest,53530,2193562000,2013000000,1955252000
13,13009,Saint John--Rothesay,64080,2708692000,2491646000,2411785000
13,13010,Tobique--Mactaquac,55650,2068388000,1919871000,1841232000
TOTAL,,,615360,24414271000,22462573000,21696913000
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,62830,2472070000,2268438000,2096956000
24,24002,Abitibi--Témiscamingue,83840,3553223000,3263713000,3113290000
24,24003,Ahuntsic-Cartierville,89820,3651245000,3341924000,3199294000
24,24004,Alfred-Pellan,80660,3671183000,3340429000,3250928000
24,24005,Argenteuil--La Petite-Nation,78070,3008332000,2753204000,2624076000
24,24006,Avignon--La Mitis--Matane--Matapédia,60560,2004118000,1857036000,1736367000
24,24007,Beauce,88070,3340556000,3072492000,2927140000
24,24008,Beauport--Limoilou,77740,2895465000,2630215000,2499872000
24,24009,Bécancour--Nicolet--Saurel,78150,2962666000,2699822000,2560419000
24,24010,Bellechasse--Les Etchemins--Lévis,95240,3978108000,3598643000,3464461000
24,24011,Beloeil--Chambly,93070,4730364000,4275851000,4182707000
24,24012,Berthier--Maskinongé,86630,3128449000,2870437000,2721300000
24,24013,Thérèse-De Blainville,81070,4276452000,3878944000,3792250000
24,24014,Pierre-Boucher--Les Patriotes--Verchères,81490,4596476000,4138628000,4041962000
24,24015,Bourassa,76510,2201845000,2056031000,1911683000
24,24016,Brome--Missisquoi,86810,3686925000,3365344000,3231960000
24,24017,Brossard--Saint-Lambert,87080,4502396000,4080467000,3973207000
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,71590,2706354000,2480406000,2350015000
24,24019,Charlesbourg--Haute-Saint-Charles,86940,3795622000,3410151000,3331679000
24,24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,78450,3347711000,3004793000,2905556000
24,24021,Châteauguay--Lacolle,80680,3228119000,2960335000,2854637000
24,24022,Chicoutimi--Le Fjord,67730,2791741000,2518639000,2422121000
24,24023,Compton--Stanstead,84090,3390685000,3094919000,2983644000
24,24024,Dorval--Lachine--LaSalle,89220,3444489000,3166322000,3036348000
24,24025,Drummond,83520,3059781000,2821965000,2687402000
24,24026,Gaspésie--Les Îles-de-la-Madeleine,66600,2301317000,2142291000,1975138000
24,24027,Gatineau,84100,3650914000,3317476000,3227443000
24,24028,Hochelaga,84010,3117228000,2865582000,2734368000
24,24029,Honoré-Mercier,82230,3126954000,2875687000,2766299000
24,24030,Hull--Aylmer,78560,3671923000,3322330000,3233826000
24,24031,Joliette,87230,3169174000,2902700000,2747753000
24,24032,Jonquière,73300,3009821000,2713249000,2614105000
24,24033,La Pointe-de-l'Île,85660,3261445000,2981606000,2859471000
24,24034,La Prairie,86550,4300209000,3893936000,3809318000
24,24035,Lac-Saint-Jean,86780,3206237000,2920456000,2781819000
24,24036,Lac-Saint-Louis,85610,5153291000,4661921000,4545647000
24,24037,LaSalle--Émard--Verdun,86460,3170405000,2920704000,2789515000
24,24038,Laurentides--Labelle,97600,3790926000,3469041000,3306624000
24,24039,Laurier--Sainte-Marie,92870,3960077000,3647436000,3499168000
24,24040,Laval--Les Îles,84050,3668520000,3357235000,3258171000
24,24041,Longueuil--Charles-LeMoyne,85100,2995761000,2757293000,2642047000
24,24042,Lévis--Lotbinière,90990,4251414000,3825816000,3728981000
24,24043,Longueuil--Saint-Hubert,87920,3881470000,3527806000,3408137000
24,24044,Louis-Hébert,85460,4765180000,4261291000,4170374000
24,24045,Louis-Saint-Laurent,94450,4414200000,3946151000,3864579000
24,24046,Manicouagan,73830,3119627000,2855494000,2726789000
24,24047,Mégantic--L'Érable,72950,2516821000,2321641000,2187032000
24,24048,Mirabel,92340,4015025000,3667197000,3573682000
24,24049,Montarville,77840,4375939000,3923797000,3861783000
24,24050,Montcalm,85940,3376771000,3095802000,2977644000
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,80680,2896043000,2669085000,2532876000
24,24052,Mount Royal,83620,4884794000,4477167000,4336242000
24,24053,Notre-Dame-de-Grâce--Westmount,82370,5775578000,5300618000,5151039000
24,24054,Outremont,66530,3488964000,3208072000,3099477000
24,24055,Papineau,86100,2736834000,2533909000,2396719000
24,24056,Pierrefonds--Dollard,86110,3919965000,3575200000,3461175000
24,24057,Pontiac,88560,4177035000,3781101000,3672320000
24,24058,Portneuf--Jacques-Cartier,92380,4458991000,4005662000,3892539000
24,24059,Québec,79280,3309017000,3017936000,2891535000
24,24060,Repentigny,94060,4253844000,3841260000,3744750000
24,24061,Richmond--Arthabaska,87610,3221923000,2956066000,2813028000
24,24062,Rivière-des-Mille-Îles,82490,3772855000,3422141000,3336733000
24,24063,Rivière-du-Nord,91420,3548132000,3257694000,3128821000
24,24064,Rosemont--La Petite-Patrie,86070,3574259000,3265159000,3143002000
24,24065,Marc-Aurèle-Fortin,79610,3729798000,3376534000,3305654000
24,24066,Saint-Hyacinthe--Bagot,84100,3156331000,2902214000,2771338000
24,24067,Saint-Jean,89630,3711901000,3398005000,3277106000
24,24068,Saint-Laurent,76510,3162287000,2902082000,2782629000
24,24069,Saint-Léonard--Saint-Michel,86290,2608544000,2430999000,2295601000
24,24070,Saint-Maurice--Champlain,90010,3162582000,2875820000,2721484000
24,24071,Salaberry--Suroît,93470,3519931000,3232373000,3082127000
24,24072,Shefford,91040,3523466000,3219894000,3088201000
24,24073,Sherbrooke,89420,3288196000,3008468000,2859683000
24,24074,Vaudreuil--Soulanges,92900,4663354000,4238307000,4154433000
24,24075,Terrebonne,87380,3933249000,3575385000,3487072000
24,24076,Trois-Rivières,91510,3525551000,3176418000,3023803000
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,104490,5723223000,5257076000,4952262000
24,24078,Vimy,91130,3325914000,3056775000,2931367000
TOTAL,,,6573000,2.79748E+11,2.55085E+11,2.45522E+11
35,35001,Ajax,90790,4221309000,3873844000,3788376000
35,35002,Algoma--Manitoulin--Kapuskasing,64770,2507490000,2318609000,2186852000
35,35003,Aurora--Oak Ridges--Richmond Hill,89120,4862441000,4433541000,4332964000
35,35004,Barrie--Innisfil,83840,3976105000,3657738000,3579221000
35,35005,Barrie--Springwater--Oro-Medonte,75450,3580736000,3279137000,3186155000
35,35006,Bay of Quinte,89410,3736761000,3422203000,3266733000
35,35007,Beaches--East York,82890,4723208000,4313239000,4174845000
35,35008,Brampton Centre,79460,2861108000,2676879000,2582487000
35,35009,Brampton East,98720,3404889000,3171264000,3044689000
35,35010,Brampton North,94190,3574486000,3318289000,3222967000
35,35011,Brampton South,97820,3541779000,3298051000,3181328000
35,35012,Brampton West,101500,3781263000,3528378000,3430419000
35,35013,Brantford--Brant,97650,4119804000,3811323000,3666703000
35,35014,Bruce--Grey--Owen Sound,84830,3539837000,3257001000,3120915000
35,35015,Burlington,99120,6030904000,5498118000,5387653000
35,35016,Cambridge,98320,4624612000,4278310000,4150201000
