Party Id,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
ATN,0,0,0,0,136,0,0,0,0,0,0,0,0
AA,0,0,0,0,0,1499,0,0,0,200,0,0,0
BQ,0,0,0,0,821144,0,0,0,0,0,0,0,0
CAN,0,0,0,0,0,0,0,271,0,0,0,0,0
CAP,0,0,0,0,0,401,0,0,0,0,0,0,0
CHP,0,295,0,0,679,7791,2021,0,2786,1660,0,0,0
COM,140,0,151,0,545,1571,135,0,486,1365,0,0,0
CPC,26469,16900,93697,112070,709164,2293393,224527,267937,1150101,708010,4928,3481,2956
DAP,0,0,0,0,0,0,0,0,1187,0,0,0,0
FD,84,0,0,0,8059,131,0,0,0,0,0,0,0
GRN,2772,5281,17630,20551,95395,185992,18944,11527,48742,194847,533,537,182
LIB,165418,51002,324816,227764,1515673,2929393,268280,131681,473416,829816,10887,9172,5619
LTN,0,0,242,0,3197,15086,1137,528,9401,7184,0,0,0
MAR,0,0,0,0,0,1033,0,0,279,245,0,0,0
ML,0,0,130,0,3008,3112,0,0,808,1780,0,0,0
NDP,54120,14006,85468,81105,1075366,1085916,81960,138574,224800,615156,3943,5783,3171
PACT,0,0,0,0,0,91,0,0,0,0,0,0,0
PIR,0,0,0,0,0,121,0,0,513,274,0,0,0
PC,0,0,0,0,0,2781,0,0,957,738,0,0,0
RHI,0,0,184,0,5683,352,0,301,743,0,0,0,0
SEN,0,0,0,0,0,157,0,0,0,0,0,0,0
BDG,0,0,0,0,0,122,0,0,0,0,0,0,0
UNI,0,0,0,0,0,57,0,0,0,0,0,0,0
IND,0,0,1310,296,3335,11572,3499,1076,16422,3099,0,0,0
NOA,7501,0,0,0,103,1001,0,0,0,402,0,0,0
