FED Id,FED Name,Province Id,Privince Name,x,y
11001,Cardigan,11,Prince Edward Island,8399527.40714423,1635863.30857413
11002,Charlottetown,11,Prince Edward Island,8364288.07428422,1620678.92143161
24056,Pierrefonds--Dollard,24,Quebec,7610137.74999943,1237130.20571696
24057,Pontiac,24,Quebec,7366278.35571458,1319502.80428661
24058,Portneuf--Jacques-Cartier,24,Quebec,7705939.49714204,1460158.23428641
24004,Alfred-Pellan,24,Quebec,7620626.50428444,1258106.64714441
24005,Argenteuil--La Petite-Nation,24,Quebec,7514992.79142700,1246012.75000186
24006,Avignon--La Mitis--Matane--Matapédia,24,Quebec,7982965.78999958,1720278.21857098
24007,Beauce,24,Quebec,7819568.37714191,1382521.18285921
24009,Bécancour--Nicolet--Saurel,24,Quebec,7687430.89428446,1341749.97428923
24010,Bellechasse--Les Etchemins--Lévis,24,Quebec,7810976.75285694,1430580.07285909
24011,Beloeil--Chambly,24,Quebec,7659133.16999941,1252110.66857195
24012,Berthier--Maskinongé,24,Quebec,7636865.97285699,1344240.56714418
24013,Thérèse-De Blainville,24,Quebec,7605829.39428445,1257376.49714441
24014,Pierre-Boucher--Les Patriotes--Verchères,24,Quebec,7647924.43999943,1278857.42714688
24024,Dorval--Lachine--LaSalle,24,Quebec,7622837.10142693,1235113.17857447
24028,Hochelaga,24,Quebec,7631331.83856943,1251732.85000194
24015,Bourassa,24,Quebec,7623719.94571443,1253733.46571443
24008,Beauport--Limoilou,24,Quebec,7761902.49571449,1445648.60571651
24016,Brome--Missisquoi,24,Quebec,7709286.76428435,1233810.92714453
24018,Rimouski-Neigette--Témiscouata--Les Basques,24,Quebec,7896419.84285708,1618659.47857364
24019,Charlesbourg--Haute-Saint-Charles,24,Quebec,7750054.97999950,1447704.48285899
24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,24,Quebec,7748790.17428711,1531937.78142879
24021,Châteauguay--Lacolle,24,Quebec,7637333.04571440,1211490.79571705
